"Source","Name","Target","Exists","SameHash"
"files\admin-stats.ts","admin-stats.ts","","False","False"
"files\ai-insights.ts","ai-insights.ts","backend\src\services\ai-insights.ts","True","False"
"files\AIInsightsPanel.tsx","AIInsightsPanel.tsx","admin-dashboard\components\AIInsightsPanel.tsx","True","True"
"files\app.json","app.json","app.json","True","False"
"files\app.json","app.json","mobile\app.json","True","False"
"files\app.json","app.json","New_files\app.json","True","False"
"files\DeadlineWidget.tsx","DeadlineWidget.tsx","mobile\src\components\DeadlineWidget.tsx","True","False"
"files\deploy-v2.0.ps1","deploy-v2.0.ps1","","False","False"
"files\eas.json","eas.json","eas.json","True","False"
"files\eas.json","eas.json","mobile\eas.json","True","False"
"files\eas.json","eas.json","New_files\eas.json","True","False"
"files\en.json","en.json","mobile\src\i18n\en.json","True","False"
"files\en.json","en.json","New_files\en.json","True","False"
"files\insights.ts","insights.ts","backend\src\routes\insights.ts","True","False"
"files\insights.ts","insights.ts","New_files\insights.ts","True","False"
"files\InsightsScreen.tsx","InsightsScreen.tsx","mobile\src\screens\tabs\InsightsScreen.tsx","True","True"
"files\INTEGRATION_NOTES.ts","INTEGRATION_NOTES.ts","","False","False"
"files\manifest.json","manifest.json","admin-dashboard\public\manifest.json","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\health\integrations\route.ts","route.ts","admin-dashboard\app\api\admin\analytics\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\health\integrations\route.ts","route.ts","admin-dashboard\app\api\admin\compliance\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\health\integrations\route.ts","route.ts","admin-dashboard\app\api\admin\health\duplo\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\health\integrations\route.ts","route.ts","admin-dashboard\app\api\admin\health\integrations\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\health\integrations\route.ts","route.ts","admin-dashboard\app\api\admin\health\remita\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\health\integrations\route.ts","route.ts","admin-dashboard\app\api\admin\health\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\health\integrations\route.ts","route.ts","admin-dashboard\app\api\admin\invoices\[id]\resubmit-duplo\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\health\integrations\route.ts","route.ts","admin-dashboard\app\api\admin\invoices\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\health\integrations\route.ts","route.ts","admin-dashboard\app\api\admin\launch-metrics\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\health\integrations\route.ts","route.ts","admin-dashboard\app\api\admin\stats\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\health\integrations\route.ts","route.ts","admin-dashboard\app\api\admin\users\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\health\queues\route.ts","route.ts","admin-dashboard\app\api\admin\analytics\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\health\queues\route.ts","route.ts","admin-dashboard\app\api\admin\compliance\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\health\queues\route.ts","route.ts","admin-dashboard\app\api\admin\health\duplo\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\health\queues\route.ts","route.ts","admin-dashboard\app\api\admin\health\integrations\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\health\queues\route.ts","route.ts","admin-dashboard\app\api\admin\health\remita\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\health\queues\route.ts","route.ts","admin-dashboard\app\api\admin\health\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\health\queues\route.ts","route.ts","admin-dashboard\app\api\admin\invoices\[id]\resubmit-duplo\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\health\queues\route.ts","route.ts","admin-dashboard\app\api\admin\invoices\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\health\queues\route.ts","route.ts","admin-dashboard\app\api\admin\launch-metrics\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\health\queues\route.ts","route.ts","admin-dashboard\app\api\admin\stats\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\health\queues\route.ts","route.ts","admin-dashboard\app\api\admin\users\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\launch-metrics\route.ts","route.ts","admin-dashboard\app\api\admin\analytics\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\launch-metrics\route.ts","route.ts","admin-dashboard\app\api\admin\compliance\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\launch-metrics\route.ts","route.ts","admin-dashboard\app\api\admin\health\duplo\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\launch-metrics\route.ts","route.ts","admin-dashboard\app\api\admin\health\integrations\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\launch-metrics\route.ts","route.ts","admin-dashboard\app\api\admin\health\remita\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\launch-metrics\route.ts","route.ts","admin-dashboard\app\api\admin\health\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\launch-metrics\route.ts","route.ts","admin-dashboard\app\api\admin\invoices\[id]\resubmit-duplo\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\launch-metrics\route.ts","route.ts","admin-dashboard\app\api\admin\invoices\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\launch-metrics\route.ts","route.ts","admin-dashboard\app\api\admin\launch-metrics\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\launch-metrics\route.ts","route.ts","admin-dashboard\app\api\admin\stats\route.ts","True","False"
"files\mnt\user-data\outputs\taxbridge\admin-dashboard\src\app\api\admin\launch-metrics\route.ts","route.ts","admin-dashboard\app\api\admin\users\route.ts","True","False"
"files\next.config.js","next.config.js","","False","False"
"files\NRSMonitor.tsx","NRSMonitor.tsx","","False","False"
"files\nrs-queue.ts","nrs-queue.ts","backend\src\queue\nrs-queue.ts","True","False"
"files\nrs-queue.ts","nrs-queue.ts","backend\src\queues\nrs-queue.ts","True","False"
"files\nrs-queue-routes.ts","nrs-queue-routes.ts","backend\src\routes\nrs-queue-routes.ts","True","False"
"files\ocr.ts","ocr.ts","backend\src\routes\ocr.ts","True","False"
"files\ocr.ts","ocr.ts","mobile\src\services\ocr.ts","True","False"
"files\ocr.ts","ocr.ts","New_files\ocr.ts","True","False"
"files\pidgin.json","pidgin.json","mobile\src\i18n\pidgin.json","True","False"
"files\pidgin.json","pidgin.json","New_files\pidgin.json","True","False"
"files\route.ts","route.ts","admin-dashboard\app\api\admin\analytics\route.ts","True","False"
"files\route.ts","route.ts","admin-dashboard\app\api\admin\compliance\route.ts","True","False"
"files\route.ts","route.ts","admin-dashboard\app\api\admin\health\duplo\route.ts","True","False"
"files\route.ts","route.ts","admin-dashboard\app\api\admin\health\integrations\route.ts","True","False"
"files\route.ts","route.ts","admin-dashboard\app\api\admin\health\remita\route.ts","True","False"
"files\route.ts","route.ts","admin-dashboard\app\api\admin\health\route.ts","True","False"
"files\route.ts","route.ts","admin-dashboard\app\api\admin\invoices\[id]\resubmit-duplo\route.ts","True","False"
"files\route.ts","route.ts","admin-dashboard\app\api\admin\invoices\route.ts","True","False"
"files\route.ts","route.ts","admin-dashboard\app\api\admin\launch-metrics\route.ts","True","False"
"files\route.ts","route.ts","admin-dashboard\app\api\admin\stats\route.ts","True","False"
"files\route.ts","route.ts","admin-dashboard\app\api\admin\users\route.ts","True","False"
"files\ScanReceiptScreen.tsx","ScanReceiptScreen.tsx","mobile\src\screens\ScanReceiptScreen.tsx","True","False"
"files\ScanReceiptScreen.tsx","ScanReceiptScreen.tsx","mobile\src\screens\tabs\ScanReceiptScreen.tsx","True","False"
"files\ScanReceiptScreen.tsx","ScanReceiptScreen.tsx","New_files\ScanReceiptScreen.tsx","True","False"
"files\swrConfig.ts","swrConfig.ts","admin-dashboard\lib\swrConfig.ts","True","False"
"files\useBackendWarmup.ts","useBackendWarmup.ts","admin-dashboard\hooks\useBackendWarmup.ts","True","False"
